ano_mes,forma_pagamento,quantidade,valor
2004-06,DOC,9119.99,8652.96
2004-06,Pix,0.0,0.0
2004-06,TEC,0.0,0.0
2004-06,TED,2698.84,283081.61
2004-07,Boleto,0.0,0.0
2004-07,Cheque,0.0,0.0
2004-07,DOC,10528.78,9864.68
2004-07,Pix,0.0,0.0
2004-07,TEC,0.0,0.0
2004-07,TED,2870.45,285784.91
2004-08,Boleto,0.0,0.0
2004-08,Cheque,0.0,0.0
2004-08,DOC,9746.85,9109.38
2004-08,Pix,0.0,0.0
2004-08,TEC,0.0,0.0
2004-08,TED,2974.23,306775.89
2004-09,Boleto,0.0,0.0
2004-09,Cheque,0.0,0.0
2004-09,DOC,9337.28,8868.67
2004-09,Pix,0.0,0.0
2004-09,TEC,0.0,0.0
2004-09,TED,2941.68,297798.1
2004-10,Boleto,0.0,0.0
2004-10,Cheque,0.0,0.0
2004-10,DOC,9919.75,9293.29
2004-10,Pix,0.0,0.0
2004-10,TEC,0.0,0.0
2004-10,TED,3054.9,304194.89
2004-11,Boleto,0.0,0.0
2004-11,Cheque,0.0,0.0
2004-11,DOC,9535.26,9321.92
2004-11,Pix,0.0,0.0
2004-11,TEC,0.0,0.0
2004-11,TED,3160.59,312703.65
2004-12,Boleto,0.0,0.0
2004-12,Cheque,5006.61,529.44
2004-12,DOC,10341.79,10081.12
2004-12,Pix,0.0,0.0
2004-12,TEC,0.0,0.0
2004-12,TED,3051.47,333284.83
2005-01,Boleto,0.0,0.0
2005-01,Cheque,0.0,0.0
2005-01,DOC,9452.41,9192.93
2005-01,Pix,0.0,0.0
2005-01,TEC,0.0,0.0
2005-01,TED,2852.39,286368.57
2005-02,Boleto,25265.3,29387.98
2005-02,Cheque,595586.19,28703.46
2005-02,DOC,8233.39,8046.58
2005-02,Pix,0.0,0.0
2005-02,TEC,0.0,0.0
2005-02,TED,2862.66,278826.41
2005-03,Boleto,82364.16,89646.17
2005-03,Cheque,167458.21,88923.26
2005-03,DOC,9593.2,9325.31
2005-03,Pix,0.0,0.0
2005-03,TEC,0.0,0.0
2005-03,TED,3344.87,334325.04
2005-04,Boleto,77491.41,85189.06
2005-04,Cheque,147639.56,82036.45
2005-04,DOC,8949.27,8700.25
2005-04,Pix,0.0,0.0
2005-04,TEC,0.0,0.0
2005-04,TED,3107.88,304897.84
2005-05,Boleto,84808.08,94016.28
2005-05,Cheque,161110.09,88635.3
2005-05,DOC,9772.81,9198.78
2005-05,Pix,0.0,0.0
2005-05,TEC,0.0,0.0
2005-05,TED,3648.97,334255.01
2005-06,Boleto,83684.49,90494.67
2005-06,Cheque,152741.95,86398.26
2005-06,DOC,10437.03,9906.08
2005-06,Pix,0.0,0.0
2005-06,TEC,0.0,0.0
2005-06,TED,3766.09,352238.38
2005-07,Boleto,81628.21,86779.75
2005-07,Cheque,148079.85,82343.58
2005-07,DOC,9962.53,9698.74
2005-07,Pix,0.0,0.0
2005-07,TEC,0.0,0.0
2005-07,TED,3569.58,329078.29
2005-08,Boleto,90499.92,98790.9
2005-08,Cheque,162022.86,89616.85
2005-08,DOC,10560.59,10064.04
2005-08,Pix,0.0,0.0
2005-08,TEC,0.0,0.0
2005-08,TED,3584.75,335092.48
2005-09,Boleto,85314.03,92147.82
2005-09,Cheque,1611363.79,81612.31
2005-09,DOC,10694.67,10086.61
2005-09,Pix,0.0,0.0
2005-09,TEC,0.0,0.0
2005-09,TED,3642.83,340445.46
2005-10,Boleto,87442.48,94850.48
2005-10,Cheque,147143.64,84149.52
2005-10,DOC,10697.66,10151.84
2005-10,Pix,0.0,0.0
2005-10,TEC,0.0,0.0
2005-10,TED,3572.87,343689.17
